Alias,IATA,lat,lon,id
Goroka,GKA,-6.08169,145.392,1
Madang,MAG,-5.20708,145.789,2
Mount Hagen,HGU,-5.82679,144.296,3
Nadzab,LAE,-6.569803,146.72598,4
Port Moresby,POM,-9.44338,147.22,5
Wewak,WWK,-3.58383,143.669,6
Narssarssuaq,UAK,61.1605,-45.426,7
Godthaab,GOH,64.1909,-51.6781,8
Sondrestrom,SFJ,67.01222,-50.711605,9
Thule,THU,76.5312,-68.7032,10
Akureyri,AEY,65.66,-18.0727,11
Egilsstadir,EGS,65.2833,-14.4014,12
Hofn,HFN,64.2956,-15.2272,13
Husavik,HZK,65.9523,-17.426,14
Isafjordur,IFJ,66.0581,-23.1353,15
Keflavik,KEF,63.985,-22.6056,16
Patreksfjordur,PFJ,65.5558,-23.965,17
Reykjavik,RKV,64.13,-21.9406,18
Siglufjordur,SIJ,66.1333,-18.9167,19
Vestmannaeyjar,VEY,63.4243,-20.2789,20
Sault Sainte Marie,YAM,46.485,-84.5094,21
St. Anthony,YAY,51.3919,-56.0831,22
Tofino,YAZ,49.079834,-125.77558,23
Pelly Bay,YBB,68.5344,-89.8081,24
Baie Comeau,YBC,49.1325,-68.2044,25
Bagotville,YBG,48.3306,-70.9964,26
Baker Lake,YBK,64.2989,-96.0778,27
Campbell River,YBL,49.9508,-125.271,28
Brandon,YBR,49.91,-99.9519,29
Cambridge Bay,YCB,69.1081,-105.138,30
Nanaimo,YCD,49.05497,-123.869865,31
Castlegar,YCG,49.2964,-117.632,32
Chatham,YCH,47.0078,-65.4492,33
Charlo,YCL,47.9908,-66.3303,34
Coppermine,YCO,67.8167,-115.144,35
Coronation,YCT,52.075,-111.445,36
Chilliwack,YCW,49.1528,-121.939,37
Clyde River,YCY,70.4861,-68.5167,38
Coral Harbour,YZS,64.1933,-83.3594,39
Dawson,YDA,64.0431,-139.128,40
Burwash,YDB,61.3711,-139.041,41
Deer Lake,YDF,49.2108,-57.3914,42
Dease Lake,YDL,58.4222,-130.032,43
Dauphin,YDN,51.1008,-100.052,44
Dawson Creek,YDQ,55.7423,-120.183,45
Edmonton,YEG,53.3097,-113.58,46
Eskimo Point,YEK,61.0942,-94.0708,47
Estevan,YEN,49.2103,-102.966,48
Edson,YET,53.5789,-116.465,49
Eureka,YEU,79.9947,-85.8142,50
Inuvik,YEV,68.3042,-133.483,51
Iqaluit,YFB,63.7564,-68.5558,52
Fredericton,YFC,45.8689,-66.5372,53
Forestville,YFE,48.7461,-69.0972,54
Flin Flon,YFO,54.6781,-101.682,55
Fort Resolution,YFR,61.1808,-113.69,56
Fort Simpson,YFS,61.7602,-121.237,57
Kingston,YGK,44.2253,-76.5969,58
La Grande Riviere,YGL,53.6253,-77.7042,59
Gaspe,YGP,48.7753,-64.4786,60
Geraldton,YGQ,49.7783,-86.9394,61
Iles De La Madeleine,YGR,47.4247,-61.7781,62
Hudson Bay,YHB,52.8167,-102.311,63
Dryden,YHD,49.8317,-92.7442,64
Holman Island,YHI,70.7628,-117.806,65
Gjoa Haven,YHK,68.6356,-95.8497,66
Hamilton,YHM,43.1736,-79.935,67
Montreal,YHU,45.5175,-73.4169,68
Hay River,YHY,60.8397,-115.783,69
Halifax,YHZ,44.8808,-63.5086,70
Atikokan,YIB,48.7739,-91.6386,71
Pond Inlet,YIO,72.6833,-77.9667,72
St. Jean,YJN,45.2944,-73.2811,73
Stephenville,YJT,48.5442,-58.55,74
Kamloops,YKA,50.7022,-120.444,75
Waterloo,YKF,43.4608,-80.3786,76
Schefferville,YKL,54.8053,-66.8053,77
Kindersley,YKY,51.5175,-109.181,78
Toronto,YKZ,43.8622,-79.37,79
Chapleau,YLD,47.82,-83.3467,80
Meadow Lake,YLJ,54.1253,-108.523,81
Lloydminster,YLL,53.3092,-110.073,82
Alert,YLT,82.5178,-62.2806,83
Kelowna,YLW,49.9561,-119.378,84
Mayo,YMA,63.6164,-135.868,85
Moose Jaw,YMJ,50.3303,-105.559,86
Fort Mcmurray,YMM,56.6533,-111.222,87
Moosonee,YMO,51.2911,-80.6078,88
Maniwaki,YMW,46.2728,-75.9906,89
Montreal,YMX,45.6795,-74.0387,90
Natashquan,YNA,50.19,-61.7892,91
Gatineau,YND,45.5217,-75.5636,92
Matagami,YNM,49.7617,-77.8028,93
Old Crow,YOC,67.5706,-139.839,94
